	EX_pro_e	rxn2	EX_gly_e	rxn3	EX_h_e	rxn4	EX_co2_e	rxn5	EX_pi_e	rxn6	EX_adp_c	rxn8	DM_atp_c
0	-900.2	900.2	-900.2	900.2	900.2	900.2	900.2	900.2	-900.2	900.2	-900.2	900.2	900.2
1	-850.2002	850.2002	-850.2002	850.2002	850.2002	850.2002	850.2002	850.2002	-850.2002	850.2002	-850.2002	850.2002	850.2002
2	-950.1998	950.1998	-950.1998	950.1998	950.1998	950.1998	950.1998	950.1998	-950.1998	950.1998	-950.1998	950.1998	950.1998
3	-825.1503002	825.1503002	-825.1503002	825.1503002	825.1503002	825.1503002	825.1503002	825.1503002	-825.1503002	825.1503002	-825.1503002	825.1503002	825.1503002
4	-875.2500998	875.2500998	-875.2500998	875.2500998	875.2500998	875.2500998	875.2500998	875.2500998	-875.2500998	875.2500998	-875.2500998	875.2500998	875.2500998
5	-925.2498998000001	925.2498998000001	-925.2498998000001	925.2498998000001	925.2498998000001	925.2498998000001	925.2498998000001	925.2498998000001	-925.2498998000001	925.2498998000001	-925.2498998000001	925.2498998000001	925.2498998000001
6	-975.1497002	975.1497002	-975.1497002	975.1497002	975.1497002	975.1497002	975.1497002	975.1497002	-975.1497002	975.1497002	-975.1497002	975.1497002	975.1497002
7	-812.6003004002	812.6003004002	-812.6003004002	812.6003004002	812.6003004002	812.6003004002	812.6003004002	812.6003004002	-812.6003004002	812.6003004002	-812.6003004002	812.6003004002	812.6003004002
8	-912.7499997998001	912.7499997998001	-912.7499997998001	912.7499997998001	912.7499997998001	912.7499997998001	912.7499997998001	912.7499997998001	-912.7499997998001	912.7499997998001	-912.7499997998001	912.7499997998001	912.7499997998001
9	-862.7501997998	862.7501997998	-862.7501997998	862.7501997998	862.7501997998	862.7501997998	862.7501997998	862.7501997998	-862.7501997998	862.7501997998	-862.7501997998	862.7501997998	862.7501997998
10	-837.7002999998	837.7002999998	-837.7002999998	837.7002999998	837.7002999998	837.7002999998	837.7002999998	837.7002999998	-837.7002999998	837.7002999998	-837.7002999998	837.7002999998	837.7002999998
11	-962.6997000002	962.6997000002	-962.6997000002	962.6997000002	962.6997000002	962.6997000002	962.6997000002	962.6997000002	-962.6997000002	962.6997000002	-962.6997000002	962.6997000002	962.6997000002
12	-887.7499998002	887.7499998002	-887.7499998002	887.7499998002	887.7499998002	887.7499998002	887.7499998002	887.7499998002	-887.7499998002	887.7499998002	-887.7499998002	887.7499998002	887.7499998002
13	-937.7497998002	937.7497998002	-937.7497998002	937.7497998002	937.7497998002	937.7497998002	937.7497998002	937.7497998002	-937.7497998002	937.7497998002	-937.7497998002	937.7497998002	937.7497998002
14	-987.5997003998001	987.5997003998001	-987.5997003998001	987.5997003998001	987.5997003998001	987.5997003998001	987.5997003998001	987.5997003998001	-987.5997003998001	987.5997003998001	-987.5997003998001	987.5997003998001	987.5997003998001
15	-806.3127505005002	806.3127505005002	-806.3127505005002	806.3127505005002	806.3127505005002	806.3127505005002	806.3127505005002	806.3127505005002	-806.3127505005002	806.3127505005002	-806.3127505005002	806.3127505005002	806.3127505005002
16	-906.4875498996998	906.4875498996998	-906.4875498996998	906.4875498996998	906.4875498996998	906.4875498996998	906.4875498996998	906.4875498996998	-906.4875498996998	906.4875498996998	-906.4875498996998	906.4875498996998	906.4875498996998
17	-856.4877498996998	856.4877498996998	-856.4877498996998	856.4877498996998	856.4877498996998	856.4877498996998	856.4877498996998	856.4877498996998	-856.4877498996998	856.4877498996998	-856.4877498996998	856.4877498996998	856.4877498996998
18	-831.4378500996997	831.4378500996997	-831.4378500996997	831.4378500996997	831.4378500996997	831.4378500996997	831.4378500996997	831.4378500996997	-831.4378500996997	831.4378500996997	-831.4378500996997	831.4378500996997	831.4378500996997
19	-818.8878502998998	818.8878502998998	-818.8878502998998	818.8878502998998	818.8878502998998	818.8878502998998	818.8878502998998	818.8878502998998	-818.8878502998998	818.8878502998998	-818.8878502998998	818.8878502998998	818.8878502998998
20	-956.4622499001002	956.4622499001002	-956.4622499001002	956.4622499001002	956.4622499001002	956.4622499001002	956.4622499001002	956.4622499001002	-956.4622499001002	956.4622499001002	-956.4622499001002	956.4622499001002	956.4622499001002
21	-919.0124496999003	919.0124496999003	-919.0124496999003	919.0124496999003	919.0124496999003	919.0124496999003	919.0124496999003	919.0124496999003	-919.0124496999003	919.0124496999003	-919.0124496999003	919.0124496999003	919.0124496999003
22	-881.5125497001002	881.5125497001002	-881.5125497001002	881.5125497001002	881.5125497001002	881.5125497001002	881.5125497001002	881.5125497001002	-881.5125497001002	881.5125497001002	-881.5125497001002	881.5125497001002	881.5125497001002
23	-869.0126496999003	869.0126496999003	-869.0126496999003	869.0126496999003	869.0126496999003	869.0126496999003	869.0126496999003	869.0126496999003	-869.0126496999003	869.0126496999003	-869.0126496999003	869.0126496999003	869.0126496999003
24	-843.9627498999002	843.9627498999002	-843.9627498999002	843.9627498999002	843.9627498999002	843.9627498999002	843.9627498999002	843.9627498999002	-843.9627498999002	843.9627498999002	-843.9627498999002	843.9627498999002	843.9627498999002
25	-931.5123497001002	931.5123497001002	-931.5123497001002	931.5123497001002	931.5123497001002	931.5123497001002	931.5123497001002	931.5123497001002	-931.5123497001002	931.5123497001002	-931.5123497001002	931.5123497001002	931.5123497001002
26	-981.3871503000998	981.3871503000998	-981.3871503000998	981.3871503000998	981.3871503000998	981.3871503000998	981.3871503000998	981.3871503000998	-981.3871503000998	981.3871503000998	-981.3871503000998	981.3871503000998	981.3871503000998
27	-968.9371501002997	968.9371501002997	-968.9371501002997	968.9371501002997	968.9371501002997	968.9371501002997	968.9371501002997	968.9371501002997	-968.9371501002997	968.9371501002997	-968.9371501002997	968.9371501002997	968.9371501002997
28	-943.9872499002997	943.9872499002997	-943.9872499002997	943.9872499002997	943.9872499002997	943.9872499002997	943.9872499002997	943.9872499002997	-943.9872499002997	943.9872499002997	-943.9872499002997	943.9872499002997	943.9872499002997
29	-893.9874499002999	893.9874499002999	-893.9874499002999	893.9874499002999	893.9874499002999	893.9874499002999	893.9874499002999	893.9874499002999	-893.9874499002999	893.9874499002999	-893.9874499002999	893.9874499002999	893.9874499002999
30	-993.8122504995002	993.8122504995002	-993.8122504995002	993.8122504995002	993.8122504995002	993.8122504995002	993.8122504995002	993.8122504995002	-993.8122504995002	993.8122504995002	-993.8122504995002	993.8122504995002	993.8122504995002
31	-803.1626880007506	803.1626880007506	-803.1626880007506	803.1626880007506	803.1626880007506	803.1626880007506	803.1626880007506	803.1626880007506	-803.1626880007506	803.1626880007506	-803.1626880007506	803.1626880007506	803.1626880007506
32	-903.3500624997497	903.3500624997497	-903.3500624997497	903.3500624997497	903.3500624997497	903.3500624997497	903.3500624997497	903.3500624997497	-903.3500624997497	903.3500624997497	-903.3500624997497	903.3500624997497	903.3500624997497
33	-853.3502624997496	853.3502624997496	-853.3502624997496	853.3502624997496	853.3502624997496	853.3502624997496	853.3502624997496	853.3502624997496	-853.3502624997496	853.3502624997496	-853.3502624997496	853.3502624997496	853.3502624997496
34	-828.3003626997496	828.3003626997496	-828.3003626997496	828.3003626997496	828.3003626997496	828.3003626997496	828.3003626997496	828.3003626997496	-828.3003626997496	828.3003626997496	-828.3003626997496	828.3003626997496	828.3003626997496
35	-815.7503628999497	815.7503628999497	-815.7503628999497	815.7503628999497	815.7503628999497	815.7503628999497	815.7503628999497	815.7503628999497	-815.7503628999497	815.7503628999497	-815.7503628999497	815.7503628999497	815.7503628999497
36	-809.4628130002499	809.4628130002499	-809.4628130002499	809.4628130002499	809.4628130002499	809.4628130002499	809.4628130002499	809.4628130002499	-809.4628130002499	809.4628130002499	-809.4628130002499	809.4628130002499	809.4628130002499
